0.126000,  0.095000,  0.095000,  0.095000,  0.095000,  0.034000,  0.000000,  0.000000,  0.000000,  0.000000,  0.028000,  0.000000,  0.000000,  0.000000,  0.000000,  0.204000,  0.161000,  0.158000,  0.125000,  0.034000,  0.186000,  0.282000,  0.304000,  0.256000,  0.008000,  1.092857,  2.970874,  ־1
0.150000,  0.419000,  0.900000,  0.500000,  0.000000,  0.000000,  0.132000,  1.000000,  0.500000,  0.000000,  0.000000,  0.125000,  1.000000,  0.500000,  0.000000,  0.000000,  0.125000,  1.000000,  0.500000,  0.000000,  0.112000,  0.356000,  1.000000,  0.637000,  0.162000,  2.425532,  2.737864,  i
0.105000,  0.105000,  0.105000,  0.105000,  0.117000,  0.000000,  0.000000,  0.000000,  0.000000,  0.014000,  0.000000,  0.000000,  0.000000,  0.000000,  0.014000,  0.000000,  0.000000,  0.000000,  0.000000,  0.014000,  0.053000,  0.053000,  0.053000,  0.053000,  0.065000,  0.189796,  2.708738,  ־1
0.320000,  0.440000,  0.300000,  0.560000,  0.400000,  0.640000,  0.040000,  0.000000,  0.080000,  0.800000,  0.640000,  0.000000,  0.000000,  0.000000,  0.680000,  0.800000,  0.080000,  0.000000,  0.040000,  0.640000,  0.400000,  0.560000,  0.233000,  0.360000,  0.240000,  1.431818,  2.100000,  O
0.438000,  0.875000,  0.450000,  0.750000,  0.312000,  0.250000,  0.750000,  0.000000,  0.500000,  0.500000,  0.250000,  0.750000,  0.000000,  0.500000,  0.500000,  0.250000,  0.750000,  0.000000,  0.500000,  0.500000,  0.438000,  0.812000,  0.100000,  0.500000,  0.688000,  1.235294,  1.400000,  n
0.333000,  0.500000,  0.250000,  0.562000,  0.417000,  0.889000,  0.333000,  0.000000,  0.250000,  0.889000,  1.000000,  0.438000,  0.250000,  0.312000,  0.500000,  0.889000,  0.417000,  0.000000,  0.000000,  0.000000,  0.417000,  0.750000,  0.417000,  0.438000,  0.333000,  1.607143,  1.400000,  e
0.625000,  0.542000,  0.700000,  0.583000,  0.458000,  0.556000,  0.056000,  0.600000,  0.056000,  0.389000,  0.500000,  0.000000,  0.600000,  0.000000,  0.333000,  0.500000,  0.000000,  0.600000,  0.000000,  0.333000,  0.667000,  0.208000,  0.700000,  0.083000,  0.500000,  0.840000,  1.400000,  m
0.438000,  0.417000,  0.312000,  0.667000,  0.500000,  0.667000,  0.000000,  0.000000,  0.111000,  0.750000,  0.750000,  0.000000,  0.000000,  0.000000,  0.750000,  0.833000,  0.111000,  0.000000,  0.000000,  0.667000,  0.625000,  0.583000,  0.250000,  0.417000,  0.438000,  1.500000,  1.400000,  o
0.667000,  0.667000,  0.607000,  0.500000,  0.500000,  0.556000,  0.167000,  0.429000,  0.000000,  0.500000,  0.500000,  0.000000,  0.429000,  0.000000,  0.500000,  0.500000,  0.000000,  0.429000,  0.000000,  0.500000,  0.667000,  0.083000,  0.571000,  0.083000,  0.625000,  0.777778,  1.400000,  rn
0.542000,  0.208000,  0.750000,  0.625000,  0.417000,  0.500000,  0.056000,  0.533000,  0.056000,  0.389000,  0.500000,  0.000000,  0.400000,  0.000000,  0.333000,  0.500000,  0.000000,  0.400000,  0.000000,  0.333000,  0.667000,  0.375000,  0.700000,  0.083000,  0.542000,  0.840000,  1.400000,  in
0.450000,  0.300000,  0.400000,  0.800000,  0.500000,  0.600000,  0.350000,  0.267000,  0.600000,  0.100000,  0.542000,  0.708000,  0.500000,  0.375000,  0.208000,  0.550000,  0.300000,  0.200000,  0.400000,  0.700000,  0.550000,  0.300000,  0.200000,  0.400000,  0.400000,  1.977273,  2.200000,  g
