0.000 0.000 0.000 0.000 0.000 0.167 0.556 0.667 0.667 0.667 1.000 0.333 0.000 0.111 0.333 0.500 0.667 0.667 0.556 0.500 0.000 0.000 0.000 0.000 0.000 0.000 c
0.000 0.000 0.000 0.000 0.000 0.167 0.556 0.667 0.556 0.167 0.500 0.667 0.667 0.889 0.500 0.833 0.778 0.556 0.778 0.667 0.000 0.000 0.000 0.000 0.000 0.000 a
0.000 0.000 0.000 0.000 0.000 0.467 0.267 0.600 0.600 0.400 0.400 0.467 0.333 0.467 0.400 0.267 0.533 0.200 0.800 0.600 0.800 0.400 0.333 0.733 0.067 0.000 y
0.000 0.000 0.000 0.000 0.000 0.500 0.444 0.111 0.556 0.333 0.500 0.667 0.000 0.667 0.500 0.333 0.778 0.667 0.889 0.667 0.000 0.000 0.000 0.000 0.000 0.000 u
0.750 0.750 0.300 0.250 0.812 0.600 0.800 0.080 0.050 0.800 0.500 0.950 0.600 0.600 0.850 0.550 0.800 0.120 0.100 0.700 0.812 0.875 0.150 0.062 0.812 0.352 н
0.000 0.083 0.300 0.542 0.917 0.357 0.893 0.886 0.786 0.357 0.750 0.458 0.067 0.292 0.500 0.857 0.321 0.000 0.107 0.821 0.417 0.750 0.400 0.625 0.542 0.683 б
0.000 0.143 0.657 0.750 0.286 0.250 0.562 0.175 0.219 0.469 0.188 0.500 0.375 0.406 0.406 0.812 0.688 0.300 0.312 0.625 0.607 0.679 0.229 0.286 0.571 0.723 е̂
0.583 0.667 0.750 0.833 0.667 0.417 0.083 0.000 0.500 1.000 0.000 0.000 0.167 0.833 0.917 0.000 0.250 0.833 0.667 0.167 0.750 1.000 0.917 0.750 0.750 0.952 2
0.562 0.125 0.750 0.312 0.562 0.750 0.250 0.700 0.250 0.750 0.750 0.250 0.800 0.250 0.750 0.750 0.500 0.800 0.312 0.812 0.875 0.625 0.900 0.812 1.000 0.500 ш
0.000 0.321 0.750 0.786 0.286 0.188 0.531 0.250 0.031 0.312 0.281 0.406 0.344 0.406 0.406 0.906 0.375 0.312 0.469 0.656 0.750 0.464 0.179 0.250 0.429 0.723 е̂
0.062 0.550 0.750 0.850 0.938 0.375 0.900 0.150 0.450 0.500 0.062 0.750 0.950 0.950 0.375 0.000 0.650 0.100 0.500 0.375 0.875 0.750 0.150 0.850 0.875 0.500 я
0.375 0.750 0.688 0.812 0.625 0.800 0.150 0.050 0.300 0.800 0.938 0.562 0.625 0.938 0.812 0.950 0.250 0.050 0.150 0.250 0.562 0.625 0.312 0.438 0.625 0.353 е
0.750 0.750 0.100 0.500 0.938 0.500 0.500 0.040 0.300 0.800 0.500 0.700 0.600 0.600 0.750 0.500 0.250 0.040 0.250 0.750 0.750 0.688 0.100 0.562 0.938 0.373 н
0.375 0.625 0.833 1.000 0.500 0.000 0.500 1.000 1.000 0.500 0.000 0.500 1.000 1.000 0.625 0.000 0.500 1.000 1.000 0.625 0.125 0.625 1.000 1.000 0.625 0.952 1
0.107 0.607 0.857 0.643 0.071 0.562 0.312 0.062 0.344 0.375 0.406 0.531 0.469 0.406 0.469 1.000 0.531 0.312 0.438 0.656 0.643 0.607 0.321 0.286 0.500 0.756 е̂
0.250 0.750 0.875 0.938 0.625 0.750 0.700 0.150 0.350 1.000 1.000 0.300 0.000 0.050 0.300 0.850 0.500 0.000 0.000 0.400 0.375 0.875 0.625 0.562 0.750 0.475 с
0.062 0.550 0.875 0.800 0.812 0.300 0.720 0.200 0.440 0.650 0.150 0.840 0.700 0.720 0.500 0.200 0.720 0.250 0.280 0.600 0.875 0.700 0.000 0.500 0.750 0.422 я
0.125 0.750 0.900 0.750 0.812 0.000 0.250 0.600 0.350 0.650 0.000 0.250 0.600 0.250 0.700 0.350 0.400 0.400 0.250 0.550 1.000 1.000 0.400 0.688 0.875 0.352 л
0.375 0.750 0.938 0.875 0.375 0.950 0.650 0.200 0.400 0.900 1.000 0.300 0.000 0.000 0.750 1.000 0.300 0.000 0.150 0.850 0.562 0.812 0.500 0.750 0.750 0.475 о
0.188 0.688 0.938 0.750 0.312 0.875 0.438 0.000 0.062 0.750 1.000 0.812 0.625 0.875 0.938 0.938 0.312 0.000 0.000 0.312 0.438 0.812 0.562 0.500 0.562 0.392 е
0.188 0.750 1.000 0.625 0.000 0.450 0.950 0.200 0.800 0.200 0.300 0.900 0.600 0.900 0.250 0.850 0.450 0.000 0.800 0.350 0.562 0.688 0.625 0.875 0.938 0.463 а
0.188 0.750 1.000 0.875 0.500 0.875 0.750 0.188 0.375 1.000 1.000 0.312 0.000 0.062 0.250 0.812 0.438 0.000 0.000 0.375 0.312 0.938 0.812 0.938 0.812 0.500 с
